ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
SHEN WEI-TSE,2565,Master Table Tennis 2021 Circuit 1,ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,รองชนะเลิศ,เชียงใหม่
SHOTA KODERA,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทความเร็วเด็กชายและหญิงอายุไม่เกิน 7 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
SHOTA KODERA,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 7 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
SHOTA KODERA,2567,Hopes And Kids 2024 Circuit 2,ประเภทเบสิกเด็กชายและหญิงอายุไม่เกิน 5 ปี,ชนะเลิศ,Pin Academy
SOO LOCK TAN,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 70 ปี,ตำแหน่งที่ 3,COPYTRON B
Souphavanh PHIATHEP,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,SV
Souphavanh PHIATHEP,2565,Master Table Tennis 2022 Circuit 3,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,Sompunya School Table Tennis Team
Steve Wets,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,ทีม x table tennis my way
TAN HOCK GEE,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,รองชนะเลิศ,BOB SG
TAN hock gee,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,Singapore Sunsport
Tay Kee,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 65 – 69 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M651
Tay Kee,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,ชนะเลิศ,Malaysia Gema Marketing
Tay Kee,2565,Master Table Tennis 2022 Circuit 2,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
TEY HONG​ YU,2566,All Thailand 2023 Circuit 3,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
TUAN YONG LEe,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 70 ปี,รองชนะเลิศ,91 Clementi
Uthman Afham Awalluddin Syah,2567,Hopes And Kids 2024 Circuit 3,ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 11 ปี,ชนะเลิศ,Sarang Table Tennis Academy
Uthman Afham Awalluddin Syah,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 11 ปี ,ชนะเลิศ,Sarang Table Tennis Academy
Wahyudi Halim,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,มหาวิทยาลัยธนบุรี A
Wang Chenyanran,2568,CHIANG RAI OPEN 2025,ประเภทหญิงเดี่ยวทั่วไป,รองชนะเลิศ,ยิมสามบาท เชียงใหม่
WANG WEI-HSIANG,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
WONG QI SHEN,2566,All Thailand 2023 Circuit 3,ประเภทชายคู่,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
WONG QI SHEN,2566,All Thailand 2023 Circuit 3,ประเภทชายเดี่ยวทั่วไป,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
YANG SUNG W,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M651
Yang Ze yi,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ A
YIEH KUN POH,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,Singapore Safra
Yong Ren Lai,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,Pin Academy
YONG WAN SUAN -,2566,Hope And Kid 2023 Circuit 3,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
YONG WAN SUAN -,2566,Hope And Kid 2023 Circuit 3,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
YUEN CHEE SUM,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,รองชนะเลิศ,BOB SG
YUEN CHEE SUM,2567,BUTTERFLY & SISB OPEN 2024,ประเภทชายเดี่ยวอายุ 65 ปีขึ้นไป,ตำแหน่งที่ 3,HAPPY SG
YUEN CHEE SUM,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,Singapore Sunsport
YUTA KODERA,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 9 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
YUTA KODERA,2567,Hopes And Kids 2024 Circuit 2,ประเภทความเร็วเด็กชายและหญิงอายุไม่เกิน 7 ปี,ชนะเลิศ,Pin Academy
YUTA KODERA,2567,Hopes And Kids 2024 Circuit 2,ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 7 ปี,รองชนะเลิศ,Pin Academy
Yuta Tsukiji,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวทั่วไป,ตำแหน่งที่ 3,Choyu_Japan
Yuuko Ogasawara,2568,BUTTERFLY & SISB OPEN 2025,ประเภทหญิงเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,Choyu_Japan
ZENG HAO**,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ชนะเลิศ,NSM
ZENG HAO**,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,NSM
ZENG HAO**,2567,BUTTERFLY & SISB OPEN 2024,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,NSM
ZENG HAO**,2566,BUTTERFLY & SISB OPEN 2023,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ชนะเลิศ,NSM
ZENG HAO**,2566,BUTTERFLY & SISB OPEN 2023,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,NSM
zhang chaoyue,2568,All Thailand 2025 Circuit 2,ประเภทชายเดี่ยวทั่วไป,ชนะเลิศ,สมาคมแต้จิ๋ว
กชพร ห้องศรีปาน,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมหญิงทั่วไป,ตำแหน่งที่ 3,กองทัพบก A
กนก หวังนิเวศน์กุล,2568,SPRC SUPER CUP 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,NCN TABLE TENNIS
กมลณัช ธนพิพัฒนศิริ,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,ปิงปองสมุทรสาคร
กมลทิพย์ ถิรธนบูรณ์,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,รองชนะเลิศ,KKU Master
กรกฤษ คุณภักดี,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 40 – 49 ปี,ตำแหน่งที่ 3,ITC GLOBAL M40M
กรณัฏฐ์ พุทธิ,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 50 – 59 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W501
กรณัฏฐ์ พุทธิ,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
กรณัฏฐ์ พุทธิ,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทหญิงคู่อายุ 40 ปีขึ้นไป,รองชนะเลิศ,NCN TABLE TENNIS
กรณัฏฐ์ พุทธิ,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทหญิงเดี่ยวอายุ 50 ปีขึ้นไป,ตำแหน่งที่ 3,NCN TABLE TENNIS
กรวีร์ นรรัตน์,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน  17 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู Banpu B
กฤตลดา ชมภูวิเศษ,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 11 ปี,ชนะเลิศ,เมืองทอง A
กฤตลดา ชมภูวิเศษ,2568,All Thailand 2025 Circuit 1,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ชนะเลิศ,เมืองทอง
กฤตลดา ชมภูวิเศษ,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,เมืองทอง
กฤตลดา ชมภูวิเศษ,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ชนะเลิศ,เมืองทอง
กฤตลดา ชมภูวิเศษ,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,รองชนะเลิศ,เมืองทอง
กฤตลดา ชมภูวิเศษ,2568,Chonburi PAO Table Tennis Open 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,รองชนะเลิศ,เมืองทอง
กฤตลดา ชมภูวิเศษ,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ตำแหน่งที่ 3,เมืองทอง
กฤตลดา ชมภูวิเศษ,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนหญิงคู่อายุไม่เกิน 11 ปี,ชนะเลิศ,เมืองทอง
กฤตลดา ชมภูวิเศษ,2567,King Cup 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี ,ชนะเลิศ,เมืองทอง
กฤตลดา ชมภูวิเศษ,2567,King Cup 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ตำแหน่งที่ 3,เมืองทอง
กฤตลดา ชมภูวิเศษ,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน  13 ปี,ตำแหน่งที่ 3,เมืองทอง B
